+++ ptr=0x00351040 size=0x0000000c       [0x0000167c] (.\src\cfg\cfg.cpp:22, cfg_set, 12 bytes)
--- ptr=0x0215d448                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02161c58                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02162318                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02162840                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02162870                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x021628a0                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02162948                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02162a40                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02162a70                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02162aa0                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02165050                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x021a0650                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x021a06b8                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0035c640                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0035c670                       [0x0000167c] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x00357ca0                       [0x0000167c] (.\src\api\api_savegame.cpp:64, SPWAW_savegame_free)
--- ptr=0x00351488                       [0x0000167c] (.\src\api\api_savegame.cpp:67, SPWAW_savegame_free)
--- ptr=0x00351040                       [0x0000167c] (.\src\cfg\cfg.cpp:90, cfg_free)
