+++ ptr=0x003c1040 size=0x00000002       [0x00000670] (.\src\gamefile\savegame_descriptor.cpp:34, savegame_descriptor_init_core, 2 bytes)
--- ptr=0x01c37d58                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01c37de8                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f7d0a0                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01c37e78                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01c37ec0                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f7d448                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f81c58                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f82318                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f82840                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f82870                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f828a0                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f82948                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f82a40                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f82a70                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f82aa0                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f85050                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01fc0650                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01fc06b8                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003cc650                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003cc680                       [0x00000670] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003c7cb0                       [0x00000670] (.\src\api\api_savegame.cpp:64, SPWAW_savegame_free)
--- ptr=0x003c1450                       [0x00000670] (.\src\api\api_savegame.cpp:67, SPWAW_savegame_free)
