+++ ptr=0x01d31040 size=0x00000002       [0x00000894] (.\src\gamefile\savegame_descriptor.cpp:34, savegame_descriptor_init_core, 2 bytes)
--- ptr=0x01c37d58                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01c37de8                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0202d0a0                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01c37e78                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01c37ec0                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0202d448                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02031c58                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02032318                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02032840                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02032870                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020328a0                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02032948                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02032a40                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02032a70                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02032aa0                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02035050                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02070650                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x020706b8                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01d3c650                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01d3c680                       [0x00000894] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01d37cb0                       [0x00000894] (.\src\api\api_savegame.cpp:64, SPWAW_savegame_free)
--- ptr=0x01d31450                       [0x00000894] (.\src\api\api_savegame.cpp:67, SPWAW_savegame_free)
